,SummonerName,LeagueName,GamesPlayed,AvgGameTime,WinRate,AvgKills,AvgDeaths,AvgAssists,AvgTowers,AvgInhibs,AvgBarons,AvgDrags,AvgVisionScore,AvgWardsPlaced,AvgWardsKilled,AvgDamageDealtToChamps,FirstTowerRate,AvgCS,FirstBloodKillRate,FirstBloodAssistRate,AvgGoldEarned,AvgDamageTaken,AvgKillGold,AvgAssistGold,AvgTowerGold,AvgInhibGold,AvgDragGold,AvgHeraldGold,AvgBaronGold,AvgCSGold,AvgKillGoldDiff,AvgAssistGoldDiff,AvgTowerGoldDiff,AvgInhibGoldDiff,AvgDragGoldDiff,AvgHeraldGoldDiff,AvgCSGoldDiff,AvgTotalGoldDiff,AvgDamageDealtDiff,AvgVisionDiff,AvgCSDiff,AvgCSPerMin,AvgPowerScore
0,MAD Uniboy,LMS Taiwan,42,38.169841269841264,42.86%,2.6666666666666665,1.8571428571428568,4.142857142857143,0.8095238095238095,0.14285714285714285,0.9523809523809524,1.6904761904761905,46.47619047619048,23.285714285714285,10.833333333333336,19038.0,0.05%,322.88095238095235,0.12%,0.00%,15187.595238095239,13639.285714285714,799.3809523809523,222.60912698412702,330.81349206349205,7.142857142857142,122.61904761904762,0.0,571.4285714285714,13133.60119047619,18.214285714285715,-15.609126984126988,-11.845238095238082,-5.9523809523809526,33.333333333333336,0.0,-490.3789682539682,-415.09523809523813,-757.047619047619,-3.4285714285714284,-13.285714285714285,8.524713329661969,0.012690977688845424
1,FW Maple,LMS Taiwan,34,33.90294117647059,85.29%,4.0,1.088235294117647,5.088235294117646,1.3823529411764706,0.5,1.1764705882352942,1.7647058823529411,48.0,25.823529411764714,10.588235294117649,19618.823529411766,0.06%,309.5,0.15%,0.00%,14878.0,12921.14705882353,1132.2941176470588,267.55147058823525,448.11274509803917,25.0,70.58823529411767,0.0,705.8823529411765,12228.571078431369,649.1764705882352,149.73284313725492,284.8774509803921,23.529411764705888,23.529411764705888,0.0,424.7132352941177,2032.0294117647054,4858.117647058823,4.588235294117646,-0.6176470588235294,9.14358064707274,4.0729812042154485
2,JT FoFo,LMS Taiwan,33,37.58989898989898,42.42%,3.0,1.5454545454545454,3.9696969696969697,0.9393939393939394,0.3333333333333333,0.7878787878787878,1.6363636363636365,41.96969696969697,19.484848484848484,9.636363636363637,20666.15151515152,0.03%,333.6363636363636,0.06%,0.00%,15259.151515151516,14004.87878787879,857.3636363636364,198.33333333333331,303.9141414141414,16.666666666666668,140.9090909090909,0.0,472.7272727272728,13269.237373737373,-93.1818181818182,-74.4722222222222,-18.88888888888888,-1.5151515151515151,56.06060606060606,-6.0606060606060606,25.542929292929497,-167.06060606060606,139.4848484848485,-11.787878787878787,-1.5757575757575757,8.911618760559428,-0.7503994801648891
3,M17 Apex,LMS Taiwan,36,39.2625,52.78%,2.5277777777777777,1.3888888888888888,4.166666666666667,0.7222222222222222,0.3055555555555556,0.8333333333333334,2.055555555555556,51.194444444444436,26.194444444444446,12.916666666666664,20046.05555555556,0.06%,342.8333333333333,0.08%,0.00%,15707.722222222224,15685.888888888889,751.9722222222223,226.96759259259258,329.69907407407413,15.277777777777779,144.44444444444446,0.0,500.0,13739.361111111111,-91.22222222222223,11.40509259259259,1.3657407407407365,2.7777777777777777,13.888888888888891,-5.5555555555555545,135.61805555555526,-81.72222222222223,81.69444444444444,2.4166666666666665,-1.0833333333333333,8.816935582431311,-0.17747276461650785
4,HKA Chawy,LMS Taiwan,28,36.11785714285715,35.71%,2.607142857142857,2.607142857142857,3.928571428571429,0.6071428571428571,0.07142857142857142,0.6785714285714286,1.8928571428571428,46.28571428571429,19.25,12.75,20720.0,0.00%,313.67857142857144,0.21%,0.00%,14274.285714285714,15012.357142857143,783.8928571428571,216.87797619047618,255.7142857142857,3.571428571428572,41.07142857142857,0.0,407.1428571428572,12566.014880952383,-162.25,-47.18154761904761,-73.75,-14.285714285714285,-35.714285714285715,0.0,-266.5684523809524,-642.6071428571429,3322.464285714286,2.4642857142857144,-3.571428571428572,8.701242169996735,-0.928094930666091
5,GRX Candy,LMS Taiwan,20,36.6825,60.00%,2.55,1.7,5.35,1.05,0.35,0.9,1.5,46.3,23.8,10.3,17421.85,0.05%,323.7,0.05%,0.00%,14941.45,13028.5,785.0,293.26666666666665,281.9166666666667,17.5,100.0,0.0,540.0,12923.766666666665,-23.9,68.46666666666667,-12.291666666666648,12.5,65.0,0.0,256.87500000000017,426.65,-473.85,1.6,3.05,8.802358223072396,0.9416825318370954
6,AFR CaiPi,LMS Taiwan,28,35.874404761904756,28.57%,2.571428571428572,2.1785714285714284,3.7857142857142856,0.75,0.17857142857142858,0.8214285714285714,1.25,46.78571428571429,22.892857142857146,12.714285714285715,18196.035714285714,0.07%,323.9642857142857,0.14%,0.00%,14274.035714285714,16803.535714285714,743.4285714285713,217.72023809523807,207.05357142857144,8.928571428571429,25.0,0.0,492.8571428571428,12579.047619047617,-387.1071428571428,-106.82738095238096,-184.19642857142856,-5.357142857142857,-110.71428571428572,0.0,-33.476190476190496,-999.1071428571428,-2568.75,1.5357142857142858,13.107142857142858,9.033752174735561,-2.796685535762438
7,ahq Wako,LMS Taiwan,15,39.66,40.00%,2.6,1.6666666666666667,3.8666666666666663,0.8666666666666667,0.2,1.0666666666666669,1.6666666666666667,57.13333333333333,27.13333333333333,18.4,20933.2,0.00%,379.53333333333336,0.33%,0.00%,16486.6,15239.0,744.5333333333333,209.63333333333333,304.72222222222223,10.0,106.66666666666669,13.333333333333336,640.0,14457.711111111108,-216.13333333333333,-43.06666666666667,-9.277777777777773,3.333333333333333,-26.66666666666667,13.333333333333336,274.6111111111112,76.13333333333334,583.0666666666667,1.5333333333333334,15.866666666666667,9.604569755819835,-0.3523863193541822
8,AFR CooN,LMS Taiwan,9,39.51481481481481,33.33%,2.0,2.4444444444444446,4.888888888888889,0.4444444444444444,0.0,0.5555555555555556,1.5555555555555556,52.0,25.88888888888889,13.666666666666664,19956.33333333333,0.00%,362.88888888888886,0.22%,0.00%,15296.777777777776,16516.222222222223,590.6666666666666,208.36111111111111,217.5,0.0,166.66666666666666,0.0,333.3333333333333,13780.250000000002,-702.8888888888888,0.4999999999999968,-127.6851851851852,-33.333333333333336,0.0,0.0,-882.4814814814818,-2345.8888888888887,-6800.666666666668,-5.0,-11.777777777777779,9.219221242971884,-2.7466266134382384
9,GRX Wuji,LMS Taiwan,16,36.115625,81.25%,3.8125,1.375,5.0625,1.0625,0.125,1.0625,2.125,52.4375,28.6875,12.8125,15732.125,0.06%,326.0625,0.19%,0.00%,15546.125,15018.9375,1115.375,258.94791666666663,346.19791666666674,6.25,68.75,12.5,637.5,13100.604166666668,453.0,95.52604166666664,128.125,-9.375,-65.625,12.5,479.72395833333337,1356.375,-4507.0,8.1875,7.0,9.092532953391661,2.5058514177795725
