,LeagueName,GameVersion,SummonerName,ParticipantID,GameID,GameTime,Side,Win,Kills,Deaths,Assists,TowerKills,InhibitorKills,BaronKills,DragonKills,VisionScore,WardsPlaced,WardsKilled,TotalDamageDealtToChampions,FirstTowerKill,TotalMinionsKilled,FirstBloodKill,FirstBloodAssist,GoldEarned,TotalDamageTaken,TurretGold,InhibGold,KillGold,AssistGold,DragGold,HeraldGold,BaronGold,CSGold,KillGoldDiff,AssistGoldDiff,TurretGoldDiff,InhibGoldDiff,DragGoldDiff,HeraldGoldDiff,BaronGoldDiff,CSGoldDiff,TotalGoldDiff,DamageDiff,VisionDiff,CSDiff,CSPerMin,PowerScore
0,LMS Taiwan,8.3.218.341,MAD Uniboy,3,1510174,32.3,BLUE,0,0,1,0,0,0,0,0,41,19,19,13850,0,339,0,False,11871,14394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11871.0,-600.0,-192.41666666666663,-275.0,0.0,0.0,0.0,-600.0,-747.5833333333339,-2415.0,-1652.0,8.0,-12.0,10.495356037151703,-4.508391319064729
1,LMS Taiwan,8.3.218.341,FW Maple,8,1510174,32.3,RED,1,2,0,4,3,0,1,2,33,20,5,15502,0,351,0,False,14286,13216,275.0,0.0,600.0,192.41666666666663,0.0,0.0,600.0,12618.583333333336,600.0,192.41666666666663,275.0,0.0,0.0,0.0,600.0,747.5833333333339,2415.0,1652.0,-8.0,12.0,10.866873065015481,3.8776383187576418
2,LMS Taiwan,8.2.216.1199,JT FoFo,3,1480254,42.75,BLUE,1,5,2,5,1,0,1,1,49,25,3,25940,0,383,0,False,17854,13101,242.5,0.0,1773.0,237.0,500.0,0.0,600.0,14501.5,1473.0,-152.16666666666674,42.5,0.0,500.0,0.0,600.0,-1927.333333333332,536.0,8123.0,-16.0,-37.0,8.95906432748538,1.3200033027863425
3,LMS Taiwan,8.2.216.1199,M17 Apex,8,1480254,42.75,RED,0,1,3,5,0,0,0,3,65,29,15,17817,0,420,0,False,17318,18056,200.0,0.0,300.0,389.16666666666674,0.0,0.0,0.0,16428.833333333332,-1473.0,152.16666666666674,-42.5,0.0,-500.0,0.0,-600.0,1927.333333333332,-536.0,-8123.0,16.0,37.0,9.824561403508772,-3.1887058394608343
4,LMS Taiwan,8.2.216.1199,MAD Uniboy,3,1490296,39.38333333333333,BLUE,0,1,2,3,0,0,0,2,44,22,9,12233,0,332,0,False,14092,11611,197.5,0.0,300.0,362.0,0.0,0.0,0.0,13232.5,-300.0,212.0,-119.16666666666664,0.0,0.0,0.0,-1200.0,-2.83333333333394,-1410.0,-4796.0,-21.0,54.0,8.429961912822684,-3.6641082543547614
5,LMS Taiwan,8.2.216.1199,HKA Chawy,8,1490296,39.38333333333333,RED,1,2,2,3,1,0,2,1,65,26,14,17029,0,278,0,False,15502,10647,316.66666666666663,0.0,600.0,150.0,0.0,0.0,1200.0,13235.333333333336,300.0,-212.0,119.16666666666664,0.0,0.0,0.0,1200.0,2.83333333333394,1410.0,4796.0,21.0,-54.0,7.0588235294117645,3.1881855931838947
6,LMS Taiwan,8.4.218.8787,JT FoFo,3,1530075,32.85,BLUE,0,1,1,1,0,0,0,0,33,17,4,13306,0,276,1,False,12109,7409,80.0,0.0,400.0,37.5,0.0,0.0,0.0,11591.5,-748.0,-86.66666666666666,-466.66666666666663,0.0,0.0,0.0,-1200.0,-1046.6666666666679,-3548.0,-7207.0,0.0,-54.0,8.401826484018265,-4.024957183085469
7,LMS Taiwan,8.4.218.8787,MAD Uniboy,8,1530075,32.85,RED,1,4,0,3,3,0,2,4,33,20,6,20513,0,330,0,False,15657,5569,546.6666666666666,0.0,1148.0,124.16666666666666,0.0,0.0,1200.0,12638.166666666668,748.0,86.66666666666666,466.66666666666663,0.0,0.0,0.0,1200.0,1046.6666666666679,3548.0,7207.0,0.0,54.0,10.04566210045662,5.705937820565325
8,LMS Taiwan,8.1.213.4336,JT FoFo,3,1460375,28.41666666666667,BLUE,1,3,0,4,0,0,1,2,30,11,6,19992,0,263,0,False,13584,5339,505.0,0.0,874.0,309.25,0.0,0.0,600.0,11295.75,474.0,309.25,505.0,0.0,0.0,0.0,600.0,2036.75,3925.0,13509.0,7.0,23.0,9.255131964809383,6.75800398861164
9,LMS Taiwan,8.1.213.4336,MAD Uniboy,8,1460375,28.41666666666667,RED,0,1,3,0,0,0,0,0,23,13,7,6483,0,240,1,False,9659,10322,0.0,0.0,400.0,0.0,0.0,0.0,0.0,9259.0,-474.0,-309.25,-505.0,0.0,0.0,0.0,-600.0,-2036.75,-3925.0,-13509.0,-7.0,-23.0,8.445747800586508,-6.800639430875956
10,LMS Taiwan,8.3.218.341,HKA Chawy,3,1510405,35.38333333333333,BLUE,0,4,4,4,0,0,1,3,45,18,14,18351,0,299,0,False,13725,17733,165.0,0.0,1370.0,268.1666666666667,0.0,0.0,600.0,11321.833333333336,-104.0,-108.74999999999994,-237.5,0.0,0.0,0.0,0.0,-1584.75,-2035.0,-4780.0,16.0,-29.0,8.450306170513425,-2.4877422449273894
11,LMS Taiwan,8.3.218.341,JT FoFo,8,1510405,35.38333333333333,RED,1,5,1,8,1,0,1,1,29,17,11,23131,0,328,0,False,15760,11572,402.5,0.0,1474.0,376.91666666666663,0.0,0.0,600.0,12906.583333333336,104.0,108.74999999999994,237.5,0.0,0.0,0.0,0.0,1584.75,2035.0,4780.0,-16.0,29.0,9.269901083372586,3.7205104820041943
12,LMS Taiwan,8.1.213.4336,GRX Candy,3,1471216,34.833333333333336,BLUE,0,0,2,4,0,0,0,1,33,21,9,10571,0,279,0,False,11814,13061,142.5,0.0,0.0,146.75,0.0,0.0,0.0,11524.75,-2568.0,59.25,-460.83333333333326,0.0,-100.0,0.0,-1200.0,-1169.416666666666,-5439.0,-10140.0,-6.0,-45.0,8.009569377990433,-5.8504947662864675
13,LMS Taiwan,8.1.213.4336,FW Maple,8,1471216,34.833333333333336,RED,1,9,0,2,2,0,2,2,39,24,7,20711,0,324,0,False,17253,9337,603.3333333333333,0.0,2568.0,87.5,100.0,0.0,1200.0,12694.166666666664,2568.0,-59.25,460.83333333333326,0.0,100.0,0.0,1200.0,1169.416666666666,5439.0,10140.0,6.0,45.0,9.301435406698564,7.19092062020612
14,LMS Taiwan,8.3.218.341,AFR CaiPi,3,1510239,30.83333333333333,BLUE,0,1,2,3,0,0,0,0,15,14,2,13917,0,257,0,False,10130,19500,0.0,0.0,300.0,237.5,0.0,0.0,0.0,9592.5,80.0,-204.16666666666663,-245.0,0.0,0.0,0.0,-600.0,-1209.833333333334,-2179.0,-1686.0,-28.0,2.0,8.335135135135136,-6.1211730203278965
15,LMS Taiwan,8.3.218.341,HKA Chawy,8,1510239,30.83333333333333,RED,1,1,2,11,2,0,1,2,43,15,7,15603,0,255,0,False,12309,8952,245.0,0.0,220.0,441.66666666666663,0.0,0.0,600.0,10802.333333333334,-80.0,204.16666666666663,245.0,0.0,0.0,0.0,600.0,1209.833333333334,2179.0,1686.0,28.0,-2.0,8.270270270270272,5.968107115876876
16,LMS Taiwan,8.3.218.341,JT FoFo,3,1510413,37.15,BLUE,0,0,2,0,0,0,0,0,44,19,11,7051,0,306,0,False,12994,15158,60.0,0.0,0.0,0.0,0.0,0.0,0.0,12934.0,-1962.0,-66.83333333333333,-430.83333333333326,0.0,0.0,0.0,-600.0,-1010.333333333332,-4070.0,-15237.0,-17.0,-41.0,8.236877523553161,-6.2352414393972095
17,LMS Taiwan,8.3.218.341,HKA Chawy,8,1510413,37.15,RED,1,7,0,2,1,0,1,4,61,12,17,22288,0,347,1,False,17064,8941,490.83333333333326,0.0,1962.0,66.83333333333333,0.0,0.0,600.0,13944.333333333332,1962.0,66.83333333333333,430.83333333333326,0.0,0.0,0.0,600.0,1010.333333333332,4070.0,15237.0,17.0,41.0,9.340511440107672,6.693905116870473
18,LMS Taiwan,8.1.213.4336,ahq Wako,3,1460839,34.916666666666664,BLUE,0,0,2,0,0,0,1,0,37,20,9,17678,0,328,0,False,13328,11999,375.0,0.0,0.0,0.0,0.0,0.0,600.0,12353.0,-548.0,-436.0,131.66666666666669,0.0,0.0,0.0,600.0,-1660.666666666666,-1913.0,2040.0,-12.0,-39.0,9.393794749403343,-4.384316020661496
19,LMS Taiwan,8.1.213.4336,M17 Apex,8,1460839,34.916666666666664,RED,1,2,0,7,0,0,0,3,49,22,7,15638,0,367,0,False,15241,15701,243.3333333333333,0.0,548.0,436.0,0.0,0.0,0.0,14013.666666666664,548.0,436.0,-131.66666666666669,0.0,0.0,0.0,-600.0,1660.666666666666,1913.0,-2040.0,12.0,39.0,10.51073985680191,2.6522876355923057
20,LMS Taiwan,8.3.218.341,M17 Apex,3,1510113,37.0,BLUE,0,2,2,3,0,0,0,1,42,19,20,21124,0,341,0,False,13099,22036,0.0,0.0,600.0,125.0,0.0,0.0,0.0,12374.0,-634.0,-351.91666666666674,-170.0,0.0,0.0,0.0,-1200.0,72.91666666666606,-2283.0,-1024.0,-1.0,55.0,9.216216216216218,-7.189826680888177
21,LMS Taiwan,8.3.218.341,FW Maple,8,1510113,37.0,RED,1,5,1,8,0,0,2,3,43,34,10,22148,0,286,0,False,15382,17571,170.0,0.0,1234.0,476.91666666666674,0.0,0.0,1200.0,12301.083333333336,634.0,351.91666666666674,170.0,0.0,0.0,0.0,1200.0,-72.91666666666606,2283.0,1024.0,1.0,-55.0,7.72972972972973,7.125590399356222
22,LMS Taiwan,8.3.218.341,GRX Candy,3,1510096,42.016666666666666,BLUE,0,3,5,3,0,0,1,0,57,29,15,27002,0,376,0,False,15942,26242,20.0,0.0,1450.0,159.25,0.0,0.0,600.0,13712.75,-1118.0,-233.08333333333331,-413.33333333333326,0.0,0.0,0.0,0.0,-2643.5833333333358,-4408.0,-5021.0,6.0,-11.0,8.948829829432764,-7.831884475834426
23,LMS Taiwan,8.3.218.341,ahq Wako,8,1510096,42.016666666666666,RED,1,10,2,11,1,0,1,3,51,25,10,32023,0,387,0,False,20350,30720,433.33333333333326,0.0,2568.0,392.33333333333326,0.0,0.0,600.0,16356.333333333336,1118.0,233.08333333333331,413.33333333333326,0.0,0.0,0.0,0.0,2643.5833333333358,4408.0,5021.0,-6.0,11.0,9.210630702102339,6.842199380253086
24,LMS Taiwan,8.3.218.341,GRX Candy,3,1500307,33.15,BLUE,0,0,2,4,0,0,0,0,39,23,8,14858,0,321,0,False,12186,10553,0.0,0.0,0.0,212.5,0.0,0.0,0.0,11973.5,-1634.0,-122.58333333333331,-677.5,0.0,0.0,0.0,-1200.0,680.0833333333339,-2954.0,-4896.0,16.0,52.0,9.683257918552037,-7.074325837257423
25,LMS Taiwan,8.3.218.341,JT FoFo,8,1500307,33.15,RED,1,6,0,8,2,0,2,3,23,14,2,19754,0,269,1,False,15140,9756,677.5,0.0,1634.0,335.0833333333333,0.0,0.0,1200.0,11293.416666666664,1634.0,122.58333333333331,677.5,0.0,0.0,0.0,1200.0,-680.0833333333339,2954.0,4896.0,-16.0,-52.0,8.114630467571644,8.690965088018903
26,LMS Taiwan,8.3.218.341,AFR CaiPi,3,1510318,45.88333333333333,BLUE,0,3,1,1,3,0,1,3,62,11,39,30132,0,413,0,False,17647,19537,488.33333333333326,0.0,874.0,50.0,50.0,0.0,600.0,15584.666666666664,300.0,-104.08333333333331,-714.1666666666667,0.0,-450.0,0.0,-1200.0,-2414.7500000000023,-4583.0,-4211.0,5.0,-74.0,9.001089720305123,-1.9388981105662781
27,LMS Taiwan,8.3.218.341,M17 Apex,8,1510318,45.88333333333333,RED,1,2,2,4,5,0,3,2,57,32,20,34343,1,487,0,False,22230,26876,1202.5,0.0,574.0,154.08333333333331,500.0,0.0,1800.0,17999.416666666668,-300.0,104.08333333333331,714.1666666666667,0.0,450.0,0.0,1200.0,2414.7500000000023,4583.0,4211.0,-5.0,74.0,10.613875771885215,4.529092907105516
28,LMS Taiwan,8.3.218.341,JT FoFo,3,1510374,32.15,BLUE,0,2,2,1,0,0,0,1,36,13,10,22873,0,306,0,False,11887,13249,0.0,0.0,600.0,50.0,0.0,0.0,0.0,11237.0,-574.0,-398.83333333333326,-195.0,-50.0,0.0,0.0,-600.0,59.83333333333394,-1758.0,6022.0,-4.0,34.0,9.517884914463453,-6.339312222874768
29,LMS Taiwan,8.3.218.341,FW Maple,8,1510374,32.15,RED,1,4,0,8,2,1,1,2,40,22,7,16851,0,272,0,False,13645,15262,195.0,50.0,1174.0,448.83333333333326,0.0,0.0,600.0,11177.166666666664,574.0,398.83333333333326,195.0,50.0,0.0,0.0,600.0,-59.83333333333394,1758.0,-6022.0,4.0,-34.0,8.460342146189737,5.7725813410900235
30,LMS Taiwan,8.2.216.1199,FW Maple,3,1480141,38.28333333333333,BLUE,0,0,2,2,0,0,0,0,72,48,18,11604,0,367,0,False,14232,19789,20.0,0.0,0.0,112.5,0.0,0.0,0.0,14099.5,-674.0,-176.66666666666663,-458.33333333333326,-50.0,0.0,0.0,-1200.0,723.0,-1836.0,-1480.0,19.0,-3.0,9.586417065737919,-5.394828500287309
31,LMS Taiwan,8.2.216.1199,ahq Wako,8,1480141,38.28333333333333,RED,1,2,0,5,2,1,2,4,53,26,26,13084,0,370,1,False,16068,6578,478.33333333333326,50.0,674.0,289.16666666666663,0.0,0.0,1200.0,13376.5,674.0,176.66666666666663,458.33333333333326,50.0,0.0,0.0,1200.0,-723.0,1836.0,1480.0,-19.0,3.0,9.664780148019156,6.242821284448366
32,LMS Taiwan,8.3.218.341,MAD Uniboy,3,1510057,36.73333333333333,BLUE,0,5,2,1,0,0,0,0,24,16,3,18672,0,328,1,False,14927,13363,40.0,0.0,1874.0,68.5,0.0,0.0,0.0,12944.5,1054.0,-231.0,-572.5,-50.0,0.0,0.0,-600.0,-987.5,-1387.0,5966.0,-25.0,-35.0,8.929219600725954,-2.791721335576612
33,LMS Taiwan,8.3.218.341,AFR CaiPi,8,1510057,36.73333333333333,RED,1,3,2,6,2,1,1,2,49,32,7,12706,0,363,0,False,16314,8334,612.5,50.0,820.0,299.5,0.0,0.0,600.0,13932.0,-1054.0,231.0,572.5,50.0,0.0,0.0,600.0,987.5,1387.0,-5966.0,25.0,35.0,9.88203266787659,2.40375423092323
34,LMS Taiwan,8.1.213.4336,MAD Uniboy,3,1460880,34.916666666666664,BLUE,0,3,3,3,1,0,1,1,27,10,5,10863,0,246,0,False,12905,13796,492.5,0.0,1100.0,156.0,0.0,0.0,600.0,10556.5,800.0,-597.8333333333335,345.83333333333326,-50.0,0.0,0.0,0.0,-3389.0,-2891.0,-5484.0,-3.0,-63.0,7.045346062052508,-4.423359159356189
35,LMS Taiwan,8.1.213.4336,GRX Candy,8,1460880,34.916666666666664,RED,1,1,1,12,1,1,1,0,30,20,1,16347,0,309,0,False,15796,6670,146.66666666666669,50.0,300.0,753.8333333333335,0.0,0.0,600.0,13945.5,-800.0,597.8333333333335,-345.83333333333326,50.0,0.0,0.0,0.0,3389.0,2891.0,5484.0,3.0,63.0,8.849642004773271,5.065102076028301
36,LMS Taiwan,8.3.218.341,M17 Apex,3,1500348,37.083333333333336,BLUE,0,4,3,2,0,0,0,0,46,23,17,22138,0,273,0,False,12522,32113,40.0,0.0,1400.0,100.0,0.0,0.0,0.0,10982.0,-36.0,-350.33333333333337,-160.0,-50.0,-50.0,0.0,-1200.0,-5319.666666666668,-7166.0,-8098.0,-30.0,-107.0,7.361797752808987,-9.124864260699397
37,LMS Taiwan,8.3.218.341,AFR CaiPi,8,1500348,37.083333333333336,RED,1,6,1,9,1,1,2,1,76,36,14,30236,0,380,0,False,19688,28095,200.0,50.0,1436.0,450.33333333333337,50.0,0.0,1200.0,16301.666666666668,36.0,350.33333333333337,160.0,50.0,50.0,0.0,1200.0,5319.666666666668,7166.0,8098.0,30.0,107.0,10.247191011235957,6.573957781742675
38,LMS Taiwan,8.1.213.4336,AFR CooN,3,1470689,41.71666666666667,BLUE,0,1,3,1,0,0,0,0,72,15,36,28066,0,410,0,False,15909,15461,102.5,0.0,300.0,150.0,0.0,0.0,0.0,15356.5,-600.0,-212.41666666666663,-185.0,-50.0,-500.0,0.0,-600.0,404.4166666666679,-1743.0,13788.0,11.0,16.0,9.82820615261686,-3.799195727813899
39,LMS Taiwan,8.1.213.4336,GRX Candy,8,1470689,41.71666666666667,RED,1,3,2,6,0,1,1,4,61,32,19,14278,0,394,0,False,17652,17654,287.5,50.0,900.0,362.41666666666663,500.0,0.0,600.0,14952.083333333332,600.0,212.41666666666663,185.0,50.0,500.0,0.0,600.0,-404.4166666666679,1743.0,-13788.0,-11.0,-16.0,9.444666400319617,3.5750935385390736
